Count2019,Source_Name,RA_(J2000),Dec_(J2000),Vsys_(km/s),Lum,Class
1,NGC_23,00:09:53.6,+25:55:23,4565,180,?
2,NGC_17,00:11:06.5,-12:06:26,5931,<10,?
3,J0011-0054,00:11:45.2,-00:54:31,14384,527,?
4,J0027+4544,00:27:25.3,45:44:27,12003,507,?
5,IC10,00:20:17.9,+59:18:31,-350,0.02,SF
6,M31,00:42:44,+41:16:09,-300,?,SF
7,NGC_235A,00:42:52.8,-23:32:28,6664,?,?
8,NGC_253,00:47:33.1,-25:17:18,241,0.2,SF?
9,Mrk_348,00:48:47.1,+31:57:25,4507,400,J
10,SMC,00:52:45,-72:49:43,158,?,SF
11,NGC_291,00:53:29.9,-08:46:04,5705,74,?
12,ESO_013-G012,01:07:02.2,-80:18:28,5047,500,?
13,J0109-0332,01:09:45.10,-03:32:32.8,16369,?,?
14,Mrk_1,01:16:07.2,+33:05:22,4780,50,D?
15,NGC_520,01:24:35.07,+03:47:32.7,2281,1,SF?
16,J0126-0417,01:26:01.66,-04:17:56.2,5639,112,D?
17,M33,01:33:16.5,+30:52:50,-180,0.3,SF
18,NGC_591,01:33:31.2,+35:40:06,4547,25,D?
19,NGC_613,01:34:18.2,-29:25:07,1475,20,?
20,IC_0184,01:59:51.2,-06:50:25,5287,?,?
21,J0214-0016,02:14:05.9,-00:16:37,11205,74,?
22,Mrk_1029,02:17:03.57,+05:17:31.4,9076,682,D?
23,NGC_1052,02:41:04.8,-08:15:21,1470,125,J
24,NGC_1068,02:42:40.7,-00:00:48,1137,160,D+J
25,NGC_1106,02:50:40.51,+41:40:17.4,4337,8,?
26,J0253-0014,02:53:29.60,-00:14:05.6,8622,4,?
27,Mrk_1066,02:59:58.6,+36:49:14,3605,32,?
28,NGC_1194,03:03:49.11,-01:06:13.4,4076,112,D
29,NGC_1320,03:24:48.7,-03:02:32,2663,43,D?
30,J0336-0750,03:36:46.16,-07:50:23.6,11719,183,?
31,NGC_1386,03:36:46.4,-36:00:02,868,125,D+?
32,J0338+0114,03:38:10.4,+01:14:18,11926,?,?
33,NGC_1402,3:39:30.6,-18:31:37,4297,47,?
34,IC_342,03:46:46.3,+68:05:46,40,0.01,SF
35,IRAS_03450+0055,03:47:40.1,+01:05:14,9294,67,?
36,J0350-0127,03:50:00.35,-01:27:57.7,12376,3870,D?
37,J0414+0534,04:14:37.77,05:34:42.4,z=2.64,10000,?
38,J0437+2456,04:37:03.67,+24:56:06.8,4835,178,D
39,J0437+6637,04:37:08.26,66:37:42.3,3770,20,D?
40,IRAS+04385-0828,04:40:54.97,-08:22:22.2,4527,43,?
41,UGC_3157,04:46:29.76,18:27:39.3,4619,?,?
42,UGC_3193,04:52:52.7,+03:03:24,4454,270,?
43,Mrk_1089,05:01:37.76,-04:15:28.4,4019,15,?
44,CGCG468-002_Ned01,05:08:19.69,+17:21:48.1,5248,35,?
45,UGC+3255,05:09:50.2,+07:29:00,5669,16,?
46,LMC,05:23:34,-69:45:22,278,?,SF
47,UGCA_116,05:55:42.63,+03:23:31.8,789,3,SF?
48,Mrk_3,06:15:36.3,+71:02:15,4050,10,?
49,NGC_2146,06:18:36.6,+78:21:28,900,1,SF
50,VII_Zw 073,06:30:25.6,+63:40:41,11899,?,?
51,NGC_2273,06:50:08.7,+60:50:45,1840,32,D
52,ESO558-G009,07:04:21.02,-21:35:19.2,7674,766,D
53,UGC_3789,07:19:31.6,+59:21:21,3243,370,D
54,NGC_2410,07:35:02.2,+32:49:20,4681,14,?
55,Mrk_78,07:42:41.7,+65:10:37,11137,32,?
56,IC_485,08:00:19.77,+26:42:05.2,8338,1060,D?
57,Mrk_1210,08:04:05.8,+05:06:50,4046,80,D?
58,J0804+3607,08:04:31.0,+36:07:18,z=0.66,23000,?
59,He_2-10,08:36:15.3,-26:24:30,?,0.7,SF
60,J0836+3327,08:36:22.8,+33:27:39,14810,800,D?
61,NGC 2639,08:43:38.1,+50:12:20,3336,25,?
62,J0847-0022,08:47:47.70,-00:22:51.4,15275,?,?
63,CGCG120-039,08:49:14.08,23:22:49.0,7684,?,?
64,J0905+0328,09:05:30.13,+03:28:22.8,8424,?,?
65,NGC_2781,09:11:27.52,-14:49:00.6,2053,14,?
66,J0912+2304,09:12:46.38,+23:04:27.3,10889,143,?
67,NGC_2782,09:14:05.1,+40:06:49,2562,13,SF
68,NGC_2785,9:15:15.41,+40:55:03.1,2622,?,?
69,NGC_2824,09:19:02.2,+26:16:12,2760,500,?
70,SBS0927+493,09:31:06.7,+49:04:47,10240,?,?
71,UGC_5101,09:35:51.6,+61:21:11,11809,1900,?
72,Mrk_1419,09:40:36.4,+03:34:37,4932,400,D
73,NGC_2979,09:43:08.6,-10:23:00,2720,125,?
74,NGC_2989,09:45:25.8,-18:22:36,4172,40,?
75,M_82,09:55:52.2,+69:40:47,200,1,SF
76,NGC_3081,09:59:29.5,-22:49:35,2391,17,?
77,NGC_3079,10:01:57.8,+55:40:47,1125,500,?
78,J1011-1926,10:11:50.58,-19:26:43.9,8058,371,?
79,NGC_3160,10:13:55.07,+38:50:34.2,6920,46,?
80,IC_2560,10:16:18.7,-33:33:50,2925,100,D
81,J1020-0010,10:20:59.55,-00:10:33.9,16779,?,?
82,NGC_3256,10:27:51.3,-43:54:14,2804,10,SF?
83,J1028+1046,10:28:02.86,10:46:31.2,13424,1135,?
84,UGC_5713,10:31:38.87,+25:59:02.3,6312,237,?
85,Mrk_34,10:34:08.6,+60:01:52,15140,1000,?
86,NGC_3359,10:46:36.8,+63:13:25,1014,0.7,?
87,NGC_3393,10:48:23.4,-25:09:43,3750,320,D
88,UGC_6093,11:00:47.96,+10:43:41.3,10828,770,D
89,J1103-0052,11:03:38.36,-00:52:08.5,8584,26,?
90,J1109+2837,11:09:33.15,+28:37:39.5,11422,36,?
91,NGC_3556,11:11:31.0,+55:40:27,699,1,?
92,NGC_3620,11:16:04.7,-76:12:59,1680,4,SF?
93,CGCG_185-028,11:17:00.12,32:35:50.6,10455,550,?
94,NGC_3614,11:18:21.32,+45:44:53.6,2333,3,?
95,Arp_299,11:28:31.9,+58:33:45,3121,125,?
96,NGC_3735,11:35:57.3,+70:32:09,2696,20,?
97,CGCG_068-013,11:38:08.01,+11:11:47.0,10707,92,?
98,NGC_3783,11:39:01.7,-37:44:19,2917,22,?
99,CGCG_268-089,11:49:45.7,+50:31:37.0,7924,149,?
100,IC_750,11:58:52.2,+42:43:21.1,704,?,?
101,NGC_4038/39,12:01:55.0,-18:52:58,?,8,SF
102,J1202+3519,12:02:04.62,+35:19:18.1,10201,520,?
103,UGC_7016,12:02:23.98,+14:50:37.1,7271,22,?
104,NGC_4051,12:03:09.6,+44:31:53,700,2,?
105,NGC_4151,12:10:32.6,+39:24:21,995,0.6,?
106,NGC_4194,12:14:09.5,+54:31:37,2501,12,?
107,NGC_4214,12:15:39.2,+36:19:40,?,0.03,SF
108,NGC_4253,12:18:26.51,+29:48:46.3,3876,9,?
109,NGC_4258,12:18:57.5,+47:18:14,448,80,D
110,NGC_4261,12:19:23.2,05:49:31.0,2238,?,?
111,NGC_4293,12:21:12.9,+18:22:57,890,1,?
112,NGC_4388,12:25:46.7,+12:39:44,2524,12,D
113,NGC_4527,12:34:08.50,+02:39:13.7,1736,4,?
114,NGC_4633,12:42:37.4,+14:21:26,291,0.06,?
115,J1255-0804,12:55:59.86,-08:04:33.6,4003,226,?
116,ESO_269-G012,12:56:40.5,-46:55:34,4950,1000,D?
117,NGC_4922,13:01:25.2,+29:18:50,7056,200,?
118,NGC_4945,13:05:27.5,-49:28:06,560,50,D+
119,NGC_4968,13:07:05.98,-23:40:37.3,2957,53,?
120,NGC_5077,13:19:31.7,-12:39:25,2806,?,?
121,NGC_5128,13:25:27.6,-43:01:09,547,?,?
122,M_51,13:29:52.7,+47:11:43,463,0.6,?
123,NGC_5256,13:38:17.2,+48:16:32,8419,32,?
124,NGC_5253,13:39:55.8,-31:38:20,?,0.02,SF
125,J1346+5228,13:46:40.79,+52:28:36.9,8763,379,D?
126,NGC_5347,13:53:17.8,+33:29:27,2335,32,?
127,J1355+0553,13:55:35.91,+05:53:04.7,11762,86,?
128,MCG+11-17-010,13:56:28.7,+64:37:43,9456,34,?
129,J1356+6937,13:56:47.4,69:37:12,10522,?,?
130,CGCG_074-064,14:03:04.46,+08:56:51,6886,?,?
131,ESO_446-G018,14:08:38.28,-29:34:19.3,4771,183,?
132,UGC_9077,14:10:55.50,39:46:19.7,5630,?,?
133,NGC_5495,14:12:23.3,-27:06:29,6737,600,D
134,Circinus,14:13:09.3,-65:20:21,450,20,D+
135,NGC_5506,14:13:14.8,-03:12:27,1853,50,?
136,MCG-02-37-004,14:26:12.3,-11:54:17,12439,?,?
137,NGC_5643,14:32:40.8,-44:10:29,1199,25,?
138,NGC_5691,14:37:53.3,-00:23:56,1870,4,SF
139,NGC_5728,14:42:23.9,-17:15:11,2788,80,?
140,CGCG_164-019,14:45:36.8,+27:02:05,8963,30,?
141,NGC_5765b,14:50:51.5,+05:06:52,8333,?,D
142,UGC_9618B,14:57:00.7,+24:37:03,10094,400,D?
143,UGC_9639,14:58:36.0,+44:53:01,10802,444,D?
144,NGC_5793,14:59:24.7,-16:41:36,3491,200,?
145,J1505+0809,15:05:17.92,+08:09:13.0,11760,?,?
146,CGCG165-035,15:14:39.79,+26:35:39,9649,?,?
147,J1520+5253,15:20:19.67,+52:53:56.7,11166,44,?
148,Arp_220,15:34:57.2,23:30:11,5434,?,?
149,UGC_9954,15:39:16.7,+24:27:18,10310,30,?
150,IRAS_15480-0344,15:50:41.5,-03:53:18,9084,211,?
151,J1600+1545,16:00:17.83,+15:45:23.5,4996,?,?
152,J1607+0106,16:07:03.94,+01:06:29.3,8216,6,?
153,J1630+3923,16:30:32.6,+39:23:03,9161,?,?
154,CGCG_168-018,16:30:40.92,30:29:19.6,11015,192,?
155,IGR_J16385-2057,16:38:30.9,-20:55:24,8064,10,?
156,NGC_6240,16:52:58.9,+02:24:03,7465,40,?
157,NGC_6264,16:57:16.1,+27:50:59,10177,2100,D
158,J1658+3923,16:58:15.5,+39:23:29,10290,672,?
159,J1710+1344,17:10:18.1,+13:44:06,9448,69,?
160,NGC_6323,17:13:18.0,+43:46:56,7772,500,D
161,NGC_6300,17:16:59.5,-62:49:14,1110,3,?
162,CGCG_252-044,17:20:29.58,50:22:37.7,7360,?,?
163,CGCG_170-022,17:22:56.58,+31:20:31.1,4543,?,?
164,J1754+3253,17:54:29.4,32:53:14,7798,?,?
165,ESO_103-G35,18:38:20.3,-65:25:42,3985,400,?
166,J1939-0124,19:39:38.9,-01:24:33,6188,160,D?
167,3C403,19:52:15.8,+02:30:24,17690,2000,J
168,NGC_6926,20:33:06.1,-02:01:39,5970,500,?
169,J2057+1707,20:57:23.9,17:07:39.0,10822,?,?
170,UGC_11685,21:09:11.4,-01:47:54.9,5872,80,?
171,IC_1361,21:11:29.1,+05:03:15.6,3962,35,?
172,J2144+1534,21:44:57.29,15:34:50.0,9138,189,?
173,J2201-3746,22:01:17.1,-37:46:24,9661,?,?
174,TXS_2226-184,22:29:12.5,-18:10:47,7495,6300,?
175,UGC_12149,22:41:07.6,+32:10:11.6,7317,?,?
176,NGC_7479,23:04:56.65,+12:19:22.4,2381,19,?
177,IC_1481,23:19:25.1,+05:54:22,6120,320,?
178,MCG+05-55-041,23:37:16.45,+31:48:02.6,9356,93,?
179,NGC_7738,23:44:02,0:31:00,6762,468,?
180,CGCG498-038,23:55:44.2,+30:12:44,9240,268,?
